graph,order,size,time,iterations,error,technique,initialization
"min-1DeadEnd","5","7","0","4","0","pagerankMonolithicSeq",""
"min-1DeadEnd","5","7","0","4","0","pagerankMonolithicSeqL1Norm",""
"min-1DeadEnd","5","7","0.003","18","0.0000010133","pagerankLevelwiseSeqL1Norm","default"
"min-1DeadEnd","5","7","0.002","16","0.0000010729","pagerankLevelwiseSeqL1Norm","component"
"min-1DeadEnd","5","7","0.003","17","0.0000011921","pagerankLevelwiseSeqL1Norm","blockgraph"
"min-1DeadEnd","5","7","0.003","18","0.0000011325","pagerankLevelwiseSeqL1Norm","remaining"
"min-1DeadEnd","5","7","0","4","0","pagerankMonolithicSeqL2Norm",""
"min-1DeadEnd","5","7","0.004","18","0.0000010133","pagerankLevelwiseSeqL2Norm","default"
"min-1DeadEnd","5","7","0.003","16","0.0000010729","pagerankLevelwiseSeqL2Norm","component"
"min-1DeadEnd","5","7","0.003","17","0.0000011921","pagerankLevelwiseSeqL2Norm","blockgraph"
"min-1DeadEnd","5","7","0.003","18","0.0000011325","pagerankLevelwiseSeqL2Norm","remaining"
"min-1DeadEnd","5","7","0","4","0","pageranMonolithicSeqLiNorm",""
"min-1DeadEnd","5","7","0.003","16","0.0000052452","pageranLevelwiseSeqLiNorm","default"
"min-1DeadEnd","5","7","0.002","14","0.0000053644","pageranLevelwiseSeqLiNorm","component"
"min-1DeadEnd","5","7","0.002","15","0.0000049472","pageranLevelwiseSeqLiNorm","blockgraph"
"min-1DeadEnd","5","7","0.003","16","0.0000055432","pageranLevelwiseSeqLiNorm","remaining"
"min-2SCC","8","12","0.002","40","0","pagerankMonolithicSeq",""
"min-2SCC","8","12","0.002","40","0","pagerankMonolithicSeqL1Norm",""
"min-2SCC","8","12","0.004","47","0.0000018049","pagerankLevelwiseSeqL1Norm","default"
"min-2SCC","8","12","0.004","46","0.0000049248","pagerankLevelwiseSeqL1Norm","component"
"min-2SCC","8","12","0.004","48","0.0000049882","pagerankLevelwiseSeqL1Norm","blockgraph"
"min-2SCC","8","12","0.004","48","0.0000016633","pagerankLevelwiseSeqL1Norm","remaining"
"min-2SCC","8","12","0.002","38","0.0000014454","pagerankMonolithicSeqL2Norm",""
"min-2SCC","8","12","0.005","44","0.0000036657","pagerankLevelwiseSeqL2Norm","default"
"min-2SCC","8","12","0.004","44","0.0000074953","pagerankLevelwiseSeqL2Norm","component"
"min-2SCC","8","12","0.005","46","0.0000099577","pagerankLevelwiseSeqL2Norm","blockgraph"
"min-2SCC","8","12","0.005","45","0.0000032112","pagerankLevelwiseSeqL2Norm","remaining"
"min-2SCC","8","12","0.002","37","0.0000011325","pageranMonolithicSeqLiNorm",""
"min-2SCC","8","12","0.003","40","0.000017382","pageranLevelwiseSeqLiNorm","default"
"min-2SCC","8","12","0.003","39","0.000027452","pageranLevelwiseSeqLiNorm","component"
"min-2SCC","8","12","0.003","41","0.000034984","pageranLevelwiseSeqLiNorm","blockgraph"
"min-2SCC","8","12","0.003","41","0.000015803","pageranLevelwiseSeqLiNorm","remaining"
"min-4SCC","21","35","0.005","45","0","pagerankMonolithicSeq",""
"min-4SCC","21","35","0.004","45","0","pagerankMonolithicSeqL1Norm",""
"min-4SCC","21","35","0.007","50","0.0000031218","pagerankLevelwiseSeqL1Norm","default"
"min-4SCC","21","35","0.008","57","0.0000056233","pagerankLevelwiseSeqL1Norm","component"
"min-4SCC","21","35","0.007","53","0.0000047432","pagerankLevelwiseSeqL1Norm","blockgraph"
"min-4SCC","21","35","0.007","52","0.0000023339","pagerankLevelwiseSeqL1Norm","remaining"
"min-4SCC","21","35","0.004","41","0.0000011362","pagerankMonolithicSeqL2Norm",""
"min-4SCC","21","35","0.008","46","0.0000077849","pagerankLevelwiseSeqL2Norm","default"
"min-4SCC","21","35","0.009","53","0.000012969","pagerankLevelwiseSeqL2Norm","component"
"min-4SCC","21","35","0.008","49","0.000011786","pagerankLevelwiseSeqL2Norm","blockgraph"
"min-4SCC","21","35","0.008","48","0.0000076508","pagerankLevelwiseSeqL2Norm","remaining"
"min-4SCC","21","35","0.004","40","0.0000016391","pageranMonolithicSeqLiNorm",""
"min-4SCC","21","35","0.005","38","0.000047235","pageranLevelwiseSeqLiNorm","default"
